rok,SPY_PLN,EDO_model_PLN,Talent_PLN,koszt_zycia_PLN
1996,12296,10000,10000,10000
1997,19920,11691,11599,11491
1998,27254,13281,13364,12824
1999,37525,14497,14765,13742
2000,37375,16222,16375,15102
2001,30963,17424,17611,15919
2002,24067,18104,18249,16222
2003,29519,18590,18622,16333
2004,30699,19591,19273,16885
2005,28554,20410,19864,17254
2006,31734,21081,20399,17476
2007,29852,22021,21296,17905
2008,16345,23378,22675,18651
2009,26786,24733,23930,19359
2010,29829,25866,24808,19859
2011,29910,27480,25913,20700
2012,38145,29008,26952,21437
2013,49002,29876,27576,21650
2014,55573,30489,28080,21662
2015,67403,30832,28425,21472
2016,78875,31244,28819,21330
2017,92066,32518,29791,21772
2018,84153,33758,31009,22167
2019,117646,35185,32465,22661
2020,141392,37076,34023,23426
2021,180438,39691,36146,24610
2022,170580,46212,40696,28161
2023,202943,52464,45564,31407
2024,240252,55499,49395,32596
2025,254132,58481,51897,33696
