date,value
1996-01-01,1068.3447
1996-02-01,1071.6214
1996-03-01,1077.6586
1996-04-01,1079.5256
1996-05-01,1081.6056
1996-06-01,1084.8651
1996-07-01,1080.8267
1996-08-01,1089.2712
1996-09-01,1096.0019
1996-10-01,1104.6126
1996-11-01,1111.4463
1996-12-01,1123.1478
1997-01-01,1130.131
1997-02-01,1135.2889
1997-03-01,1148.0978
1997-04-01,1161.0057
1997-05-01,1172.0226
1997-06-01,1183.7353
1997-07-01,1190.5821
1997-08-01,1196.4661
1997-09-01,1208.0507
1997-10-01,1214.2392
1997-11-01,1218.407
1997-12-01,1220.92
1998-01-01,1224.8067
1998-02-01,1238.0226
1998-03-01,1252.8721
1998-04-01,1259.5314
1998-05-01,1259.8146
1998-06-01,1261.1814
1998-07-01,1265.6103
1998-08-01,1271.9256
1998-09-01,1274.9305
1998-10-01,1282.5862
1998-11-01,1301.1415
1998-12-01,1311.7255
1999-01-01,1318.3059
1999-02-01,1320.7663
1999-03-01,1326.8933
1999-04-01,1332.6164
1999-05-01,1341.2577
1999-06-01,1347.328
1999-07-01,1354.2924
1999-08-01,1369.8219
1999-09-01,1388.625
1999-10-01,1409.6491
1999-11-01,1422.9249
1999-12-01,1460.8214
2000-01-01,1482.3792
2000-02-01,1492.3819
2000-03-01,1518.621
2000-04-01,1541.9661
2000-05-01,1565.3995
2000-06-01,1585.4983
2000-07-01,1600.4004
2000-08-01,1613.2634
2000-09-01,1624.2423
2000-10-01,1622.8007
2000-11-01,1632.582
2000-12-01,1639.388
2001-01-01,1643.5643
2001-02-01,1655.5665
2001-03-01,1669.2783
2001-04-01,1683.3982
2001-05-01,1695.6825
2001-06-01,1700.1292
2001-07-01,1702.2901
2001-08-01,1703.2587
2001-09-01,1713.8623
2001-10-01,1715.0628
2001-11-01,1737.0742
2001-12-01,1758.4831
2002-01-01,1757.5946
2002-02-01,1767.3499
2002-03-01,1772.375
2002-04-01,1783.1559
2002-05-01,1791.0413
2002-06-01,1817.3077
2002-07-01,1836.7377
2002-08-01,1866.2833
2002-09-01,1901.2449
2002-10-01,1944.8717
2002-11-01,1978.4656
2002-12-01,2010.3645
2003-01-01,2036.2306
2003-02-01,2068.5944
2003-03-01,2084.5933
2003-04-01,2107.7427
2003-05-01,2131.7814
2003-06-01,2150.9881
2003-07-01,2177.4517
2003-08-01,2220.644
2003-09-01,2234.4403
2003-10-01,2211.7191
2003-11-01,2200.8577
2003-12-01,2207.7593
2004-01-01,2226.3157
2004-02-01,2252.6673
2004-03-01,2289.6515
2004-04-01,2343.7832
2004-05-01,2384.2848
2004-06-01,2410.0339
2004-07-01,2413.4801
2004-08-01,2436.6706
2004-09-01,2465.6049
2004-10-01,2494.8004
2004-11-01,2525.1874
2004-12-01,2552.9238
2005-01-01,2577.3224
2005-02-01,2606.3614
2005-03-01,2650.7811
2005-04-01,2681.6391
2005-05-01,2696.4669
2005-06-01,2733.9789
2005-07-01,2781.408
2005-08-01,2823.1152
2005-09-01,2844.2378
2005-10-01,2869.4851
2005-11-01,2893.9762
2005-12-01,2925.6017
2006-01-01,2945.3764
2006-02-01,2972.9844
2006-03-01,2998.1457
2006-04-01,3030.8713
2006-05-01,3059.2308
2006-06-01,3093.7306
2006-07-01,3120.4987
2006-08-01,3129.2585
2006-09-01,3156.9502
2006-10-01,3307.056
2006-11-01,3335.6789
2006-12-01,3371.1027
2007-01-01,3394.4599
2007-02-01,3422.3617
2007-03-01,3363.4269
2007-04-01,3391.2159
2007-05-01,3410.7778
2007-06-01,3428.3902
2007-07-01,3447.4912
2007-08-01,3468.9916
2007-09-01,3501.7785
2007-10-01,3557.1902
2007-11-01,3586.4483
2007-12-01,3598.7766
2008-01-01,3614.1662
2008-02-01,3629.8114
2008-03-01,3647.9551
2008-04-01,3660.8773
2008-05-01,3650.8389
2008-06-01,3637.7011
2008-07-01,3629.7004
2008-08-01,3630.1226
2008-09-01,3667.2397
2008-10-01,3824.9725
2008-11-01,3826.702
2008-12-01,3818.9501
2009-01-01,3802.0491
2009-02-01,3825.7841
2009-03-01,3825.9988
2009-04-01,3840.8479
2009-05-01,3878.6818
2009-06-01,3860.6748
2009-07-01,3838.8186
2009-08-01,3813.9628
2009-09-01,3765.6989
2009-10-01,3741.8211
2009-11-01,3805.7256
2009-12-01,3776.5583
2010-01-01,3758.653
2010-02-01,3721.2003
2010-03-01,3704.6632
2010-04-01,3714.1236
2010-05-01,3700.2451
2010-06-01,3682.8644
2010-07-01,3661.2692
2010-08-01,3655.4109
2010-09-01,3641.6328
2010-10-01,3627.2637
2010-11-01,3623.9653
2010-12-01,3613.2997
2011-01-01,3603.7848
2011-02-01,3570.1308
2011-03-01,3540.2176
2011-04-01,3521.5312
2011-05-01,3508.8388
2011-06-01,3501.9607
2011-07-01,3496.8982
2011-08-01,3492.0643
2011-09-01,3488.4481
2011-10-01,3497.9902
2011-11-01,3505.1637
2011-12-01,3494.9012
2012-01-01,3511.5716
2012-02-01,3539.4811
2012-03-01,3544.3135
2012-04-01,3540.964
2012-05-01,3539.6909
2012-06-01,3529.8059
2012-07-01,3524.6099
2012-08-01,3526.1138
2012-09-01,3529.8586
2012-10-01,3526.6714
2012-11-01,3555.625
2012-12-01,3550.6384
2013-01-01,3560.4348
2013-02-01,3553.708
2013-03-01,3549.0403
